StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Team Name:,Executive summary,Workflow outline,Workflow steps with defense,"Innovation, elegant, and/or creative solutions",Results presented clearly (good visualizations),Evidence that all team members contributed,Concise (finish on time),Comments/ Feedback:
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID16""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID5_TEXT""}"
2023-01-22 12:38:03,2023-01-22 13:55:11,IP Address,174.246.199.240,100,4628,True,2023-01-22 13:55:12,R_Wv4rsevfGbdkG8p,,,,,30.4032,-97.753,anonymous,EN,Hackalopes,"3, Acceptable","3, Acceptable","3, Acceptable","3, Acceptable","3, Acceptable","4, Good","1, went over time (10 min)",
2023-01-22 13:38:16,2023-01-22 13:55:38,IP Address,107.77.217.170,100,1042,True,2023-01-22 13:55:39,R_1EWG29tw2usmvT5,,,,,29.81,-95.5608,anonymous,EN,Hackalopes,"4, Good","3, Acceptable","3, Acceptable","4, Good","4, Good","4, Good","5, Finished presentation in 10 min or less",
2023-01-22 13:36:00,2023-01-22 13:55:50,IP Address,198.214.81.219,100,1189,True,2023-01-22 13:55:51,R_1oAtcfbKVqXXb1v,,,,,30.2887,-97.7398,anonymous,EN,Hackalopes,"2, Needs Improvement","3, Acceptable","2, Needs Improvement","2, Needs Improvement","1, Poor","5, Exceptional","5, Finished presentation in 10 min or less",
2023-01-22 13:35:47,2023-01-22 13:57:16,IP Address,198.214.80.34,100,1288,True,2023-01-22 13:57:17,R_12FN3LbZKDs94Jc,,,,,30.2887,-97.7398,anonymous,EN,Hackalopes,"3, Acceptable","2, Needs Improvement","2, Needs Improvement","2, Needs Improvement","2, Needs Improvement","3, Acceptable","5, Finished presentation in 10 min or less",
2023-01-22 13:55:15,2023-01-22 14:01:30,IP Address,174.246.199.240,100,375,True,2023-01-22 14:01:31,R_Xh2Qo4iRXBeJ2dX,,,,,30.4032,-97.753,anonymous,EN,Hack-em,"4, Good","4, Good","4, Good","4, Good","4, Good","4, Good","5, Finished presentation in 10 min or less",
2023-01-22 13:57:53,2023-01-22 14:01:41,IP Address,198.214.80.34,100,228,True,2023-01-22 14:01:41,R_DkPgD5W6vbDjdgR,,,,,30.2887,-97.7398,anonymous,EN,Hack-em,"3, Acceptable","3, Acceptable","3, Acceptable","3, Acceptable","3, Acceptable","4, Good","5, Finished presentation in 10 min or less",
2023-01-22 13:55:51,2023-01-22 14:02:11,IP Address,107.77.217.170,100,380,True,2023-01-22 14:02:12,R_2wvQs4KCbWenbAn,,,,,29.81,-95.5608,anonymous,EN,Hack-em,"5, Exceptional","4, Good","4, Good","5, Exception","4, Good","5, Exceptional","5, Finished presentation in 10 min or less",
2023-01-22 13:56:15,2023-01-22 14:02:32,IP Address,174.202.230.238,100,377,True,2023-01-22 14:02:33,R_2DMSDhYmxN421fN,,,,,29.7502,-95.471,anonymous,EN,Hack-em,"4, Good","4, Good","4, Good","4, Good","4, Good","4, Good","5, Finished presentation in 10 min or less","Good clear visuals and presentation. "
2023-01-22 13:55:58,2023-01-22 14:02:44,IP Address,198.214.81.219,100,406,True,2023-01-22 14:02:44,R_3oGYhJAwDX4zzvd,,,,,30.2887,-97.7398,anonymous,EN,Hack-em,"4, Good","4, Good","5, Exceptional","4, Good","4, Good","5, Exceptional","5, Finished presentation in 10 min or less",Good visuals and explanation of workflow. Didn't complete results discussion.
2023-01-22 14:01:58,2023-01-22 14:06:44,IP Address,198.214.80.34,100,286,True,2023-01-22 14:06:45,R_2ePcmYyLnxUS1Ra,,,,,30.2887,-97.7398,anonymous,EN,Banana-Ducks,"4, Good","3, Acceptable","4, Good","3, Acceptable","4, Good","4, Good","5, Finished presentation in 10 min or less",
2023-01-22 14:02:30,2023-01-22 14:07:09,IP Address,107.77.217.170,100,278,True,2023-01-22 14:07:09,R_9nbhlc2Zw72fWud,,,,,29.81,-95.5608,anonymous,EN,Banana-Ducks,"4, Good","3, Acceptable","4, Good","3, Acceptable","4, Good","4, Good","5, Finished presentation in 10 min or less",
2023-01-22 14:01:34,2023-01-22 14:07:10,IP Address,174.246.199.240,100,335,True,2023-01-22 14:07:10,R_246lo1g2vtzGVmF,,,,,30.4032,-97.753,anonymous,EN,Banana-Ducks,"4, Good","3, Acceptable","4, Good","4, Good","4, Good","5, Exceptional","5, Finished presentation in 10 min or less",Good insights on accuracy
2023-01-22 14:02:51,2023-01-22 14:07:32,IP Address,198.214.81.219,100,280,True,2023-01-22 14:07:32,R_3lMk1jmQ8wJgxXW,,,,,30.2887,-97.7398,anonymous,EN,Banana-Ducks,"5, Exceptional","4, Good","4, Good","4, Good","5, Exceptional","5, Exceptional","5, Finished presentation in 10 min or less",Great descriptions and visualization to describe the problem and results.
2023-01-22 14:02:35,2023-01-22 14:08:01,IP Address,174.202.230.238,100,326,True,2023-01-22 14:08:01,R_DBsgyU1NRVA5WbT,,,,,29.7502,-95.471,anonymous,EN,Banana-Ducks,"4, Good","4, Good","5, Exceptional","4, Good","5, Exceptional","5, Exceptional","5, Finished presentation in 10 min or less",Like the enthusiasm & clear explanations. The  model comparisons and explanation of predictions was particularly well done. Great job guys!
2023-01-22 13:34:26,2023-01-22 13:56:08,IP Address,174.202.230.238,100,1302,True,2023-01-22 14:11:21,R_Dqpb961YIItY6sN,,,,,29.7502,-95.471,anonymous,EN,Hackalopes,"4, Good","4, Good","4, Good","3, Acceptable","3, Acceptable","3, Acceptable","5, Finished presentation in 10 min or less",Maintained a good flow to the presentation in spite of not having the latest deck. Good job guys!
2023-01-22 14:07:12,2023-01-22 14:13:37,IP Address,198.214.80.34,100,384,True,2023-01-22 14:13:37,R_2frkJyOv5sCINRb,,,,,30.2887,-97.7398,anonymous,EN,Trevor,"3, Acceptable","2, Needs Improvement","2, Needs Improvement","3, Acceptable","3, Acceptable","4, Good","5, Finished presentation in 10 min or less",
2023-01-22 14:07:13,2023-01-22 14:13:49,IP Address,174.246.199.240,100,395,True,2023-01-22 14:13:49,R_D0DIzC88tuYdodz,,,,,30.4032,-97.753,anonymous,EN,Trevor,"4, Good","4, Good","4, Good","3, Acceptable","3, Acceptable","4, Good","5, Finished presentation in 10 min or less",Did it work? Zero failures?
2023-01-22 14:07:18,2023-01-22 14:13:55,IP Address,107.77.217.170,100,397,True,2023-01-22 14:13:55,R_3CUGbiCgiV8ejpP,,,,,29.81,-95.5608,anonymous,EN,Trevor,"5, Exceptional","4, Good","5, Exceptional","4, Good","4, Good","4, Good","5, Finished presentation in 10 min or less",
2023-01-22 14:08:05,2023-01-22 14:14:56,IP Address,174.202.230.238,100,411,True,2023-01-22 14:14:56,R_3Gqt6MF5ZFxxnjK,,,,,29.7502,-95.471,anonymous,EN,Trevor,"4, Good","4, Good","4, Good","4, Good","4, Good","4, Good","5, Finished presentation in 10 min or less",Good presentation and pace. Great job guys!
2023-01-22 14:07:35,2023-01-22 14:14:59,IP Address,198.214.81.219,100,444,True,2023-01-22 14:14:59,R_12s6cpc02YXmOZS,,,,,30.2887,-97.7398,anonymous,EN,Trevor,"4, Good","4, Good","4, Good","4, Good","3, Acceptable","5, Exceptional","5, Finished presentation in 10 min or less",Good executive summary. Good pace and verbal explanations of the problem and intermediate steps. Could have been better at the results explanation and models.
