StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Team Name:,Executive summary,Workflow outline,Workflow steps with defense,"Innovation, elegant, and/or creative solutions",Results presented clearly (good visualizations),Evidence that all team members contributed,Concise (finish on time),Comments/ Feedback:
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID16""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID5_TEXT""}"
2021-04-18 13:05:22,2021-04-18 13:18:29,IP Address,136.49.10.48,100,787,True,2021-04-18 13:18:30,R_eP29xjtEyNEM8F3,,,,,30.1746063232421875,-97.8202972412109375,anonymous,EN,The Roaring Kitties,"3, Acceptable","4, Good","4, Good","3, Acceptable","4, Good","5, Exceptional","5, Finished presentation in 10 min or less",
2021-04-18 13:05:03,2021-04-18 13:18:34,IP Address,174.50.22.92,100,811,True,2021-04-18 13:18:34,R_1jUhSsTok4TMrGz,,,,,35.0644073486328125,-89.6759033203125,anonymous,EN,The Roaring Kitties,"4, Good","4, Good","3, Acceptable","3, Acceptable","4, Good","4, Good","5, Finished presentation in 10 min or less",Energetic group. Great start. Good flow.  the handoffs were well done.  They were the first group to set a benchmark
2021-04-18 12:14:30,2021-04-18 13:18:36,IP Address,73.166.16.157,100,3845,True,2021-04-18 13:18:36,R_3pfIwa7ZQpIHcgO,,,,,29.542205810546875,-95.321197509765625,anonymous,EN,The Roaring Kitties,"5, Exceptional","4, Good","4, Good","4, Good","5, Exceptional","5, Exceptional","5, Finished presentation in 10 min or less","'+vs: Great energy Adi and good presentation overall
improve: more details on the dataset - geology/formation etc
questions: sampling bias and ability of the model to generalize "
2021-04-18 12:54:40,2021-04-18 13:19:01,IP Address,66.68.62.107,100,1461,True,2021-04-18 13:19:01,R_5am21wkULlogz3b,,,,,30.4031982421875,-97.75299835205078125,anonymous,EN,The Roaring Kitties,"4, Good","4, Good","4, Good","4, Good","4, Good","4, Good","5, Finished presentation in 10 min or less",Great presentation. It was concise and explained the model and steps to achieve the results
2021-04-18 13:12:52,2021-04-18 13:20:58,IP Address,165.225.217.53,100,485,True,2021-04-18 13:20:58,R_1BsOyF6LwwUo1pv,,,,,32.779693603515625,-96.8022003173828125,anonymous,EN,The Roaring Kitties,"4, Good","4, Good","3, Acceptable","3, Acceptable","4, Good","5, Exceptional","5, Finished presentation in 10 min or less","Great team co-ordination, excellent presentation. "
2021-04-18 13:21:11,2021-04-18 13:30:09,IP Address,165.225.217.53,100,537,True,2021-04-18 13:30:09,R_3oZPS1QFgBpTEpv,,,,,32.779693603515625,-96.8022003173828125,anonymous,EN,ANTICLINE,"3, Acceptable","4, Good","3, Acceptable","4, Good","3, Acceptable","3, Acceptable","5, Finished presentation in 10 min or less","Visualization could be improved, especially figure 11. Good presentation, needs some work on communication skills"
2021-04-18 13:24:22,2021-04-18 13:30:16,IP Address,174.50.22.92,100,353,True,2021-04-18 13:30:16,R_305ZdTrUCHkYqC6,,,,,35.0644073486328125,-89.6759033203125,anonymous,EN,BAY,"3, Acceptable","3, Acceptable","3, Acceptable","3, Acceptable","2, Needs Improvement","3, Acceptable","5, Finished presentation in 10 min or less","Great material, a bit harder to follow the flow and thinking. Graphical flow may have helped on their workflow with decisions. Maybe highlight where our focus should be. Maybe show the basic factors and how they improved accuracy."
2021-04-18 13:19:05,2021-04-18 13:30:21,IP Address,66.68.62.107,100,675,True,2021-04-18 13:30:21,R_3CVIzDl28MXXaq0,,,,,30.4031982421875,-97.75299835205078125,anonymous,EN,BAY,"4, Good","5, Exceptional","4, Good","4, Good","3, Acceptable","3, Acceptable","5, Finished presentation in 10 min or less",nice combination of water cut modelling and production realizations. It would be interesting to see some of the variance on your water cut modelling as well
2021-04-18 13:18:50,2021-04-18 13:30:21,IP Address,73.166.16.157,100,691,True,2021-04-18 13:30:21,R_3KuwLiJSGd5vTwS,,,,,29.542205810546875,-95.321197509765625,anonymous,EN,BAY,"4, Good","5, Exceptional","4, Good","4, Good","4, Good","5, Exceptional","5, Finished presentation in 10 min or less","'+ves: clean walkthrough, feature engineering, handling of geospatial, time management
improve: some wordy slides, discuss possible bias in the dataset"
2021-04-18 13:18:36,2021-04-18 13:30:24,IP Address,136.49.10.48,100,708,True,2021-04-18 13:30:25,R_1JCx6cm7DEHyESQ,,,,,30.1746063232421875,-97.8202972412109375,anonymous,EN,BAY,"3, Acceptable","3, Acceptable","4, Good","4, Good","3, Acceptable","5, Exceptional","5, Finished presentation in 10 min or less",
2021-04-18 13:30:22,2021-04-18 13:41:03,IP Address,174.50.22.92,100,641,True,2021-04-18 13:41:03,R_27BTwE5x9rJp6FU,,,,,35.0644073486328125,-89.6759033203125,anonymous,EN,Darcy Analytics,"3, Acceptable","3, Acceptable","4, Good","4, Good","4, Good","4, Good","5, Finished presentation in 10 min or less",they started to get momentum in the workflow. Liked the analysis. KNN good explanation how they narrowed functions. Improved model was well done.  Liked the summary and feedback. Interdisciplinary
2021-04-18 13:30:35,2021-04-18 13:41:03,IP Address,165.225.217.53,100,628,True,2021-04-18 13:41:04,R_1Nn9e3Hg92VyUuY,,,,,32.779693603515625,-96.8022003173828125,anonymous,EN,Darcy Analytics,"5, Exceptional","5, Exceptional","5, Exceptional","5, Exception","5, Exceptional","5, Exceptional","5, Finished presentation in 10 min or less","Really good presentation, good co-ordinations and visualizations"
2021-04-18 13:30:28,2021-04-18 13:41:05,IP Address,136.49.10.48,100,636,True,2021-04-18 13:41:05,R_QbslXHJLoxUaXwR,,,,,30.1746063232421875,-97.8202972412109375,anonymous,EN,Darcy Analytics,"4, Good","3, Acceptable","2, Needs Improvement","3, Acceptable","2, Needs Improvement","5, Exceptional","5, Finished presentation in 10 min or less",
2021-04-18 13:30:58,2021-04-18 13:41:21,IP Address,66.68.62.107,100,622,True,2021-04-18 13:41:21,R_3GDPu9cc5vGhCay,,,,,30.4031982421875,-97.75299835205078125,anonymous,EN,Darcy Analytics,"4, Good","4, Good","5, Exceptional","5, Exception","3, Acceptable","4, Good","5, Finished presentation in 10 min or less",great job discussing imputation choice and comparison between the tested methods
2021-04-18 13:30:24,2021-04-18 13:41:25,IP Address,73.166.16.157,100,661,True,2021-04-18 13:41:26,R_2VsYd7rRnw3kTlT,,,,,29.542205810546875,-95.321197509765625,anonymous,EN,Darcy Analytics,"5, Exceptional","5, Exceptional","4, Good","4, Good","4, Good","4, Good","5, Finished presentation in 10 min or less","'+vs: Great summary and approach, feature ranking and imputation approaches, 3d model and plots
improve: defense of why the ANN was chosen"
2021-04-18 13:41:20,2021-04-18 13:51:50,IP Address,165.225.217.53,100,629,True,2021-04-18 13:51:50,R_1Ije7y42zEuOqpF,,,,,32.779693603515625,-96.8022003173828125,anonymous,EN,Carpe Datum,"3, Acceptable","3, Acceptable","4, Good","3, Acceptable","3, Acceptable","4, Good","1, went over time (10 min)","Good presentation, opportunity to improve co-ordination, workflow and summarizing the story."
2021-04-18 13:41:23,2021-04-18 13:51:57,IP Address,66.68.62.107,100,633,True,2021-04-18 13:51:57,R_28V8sTMoNQ6DbFo,,,,,30.4031982421875,-97.75299835205078125,anonymous,EN,Carpe Datum,"2, Needs Improvement","3, Acceptable","4, Good","3, Acceptable","4, Good","3, Acceptable","1, went over time (10 min)",nice investigation into the fault influence on features. Great job with feature engineering. Great work on the spatial out of bag estimates
